age,bin,attri_mort,attri_mort_lower,attri_mort_upper
80,18.5,0.011081442,0.009139182,0.012982182
85,18.5,0.028363961,0.023392573,0.033229076
25,19,0.000242903,0.000201501,0.000283066
30,19,0.000347799,0.000288478,0.000405352
35,19,0.00047404,0.000393188,0.000552494
40,19,0.00061523,0.000510375,0.000717003
45,19,0.000846363,0.000702033,0.000986524
50,19,0.001204651,0.000998966,0.001404519
55,19,0.001650246,0.001367721,0.00192497
60,19,0.002490335,0.002062504,0.002906662
65,19,0.003593637,0.002973598,0.004197508
70,19,0.005180227,0.004283249,0.006054721
75,19,0.007669635,0.006335726,0.008971711
80,19,0.011231996,0.009265266,0.013155839
85,19,0.028756142,0.023720924,0.033681561
25,19.5,0.00024496,0.000203264,0.000285384
30,19.5,0.000347938,0.000288674,0.000405403
35,19.5,0.000473191,0.000392593,0.000551354
40,19.5,0.000616689,0.000511726,0.000718509
45,19.5,0.000851663,0.000706617,0.000992436
50,19.5,0.001213227,0.001006343,0.001414149
55,19.5,0.001653872,0.00137108,0.001928705
60,19.5,0.002509905,0.002079238,0.002928773
65,19.5,0.003633464,0.003007289,0.004243001
70,19.5,0.005233802,0.00432857,0.006115914
75,19.5,0.007753389,0.006406347,0.009067651
80,19.5,0.011394558,0.009401322,0.013343525
85,19.5,0.029199547,0.024091705,0.034193941
25,20,0.00024592,0.000204117,0.000286424
30,20,0.000346581,0.000287626,0.000403712
35,20,0.000471409,0.000391221,0.000549128
40,20,0.000617832,0.000512813,0.000719646
45,20,0.000858409,0.000712405,0.001000034
50,20,0.001227456,0.001018414,0.001430364
55,20,0.001675152,0.001389076,0.001953026
60,20,0.002553955,0.00211625,0.002979438
65,20,0.003713587,0.003074346,0.004335525
70,20,0.00534493,0.00442149,0.006244332
75,20,0.007910849,0.006537912,0.00924978
80,20,0.01164303,0.009608273,0.013631737
85,20,0.029880063,0.024658171,0.034983773
25,20.5,0.000245992,0.000204233,0.000286429
30,20.5,0.000341653,0.000283615,0.000397863
35,20.5,0.000463268,0.000384571,0.000539499
40,20.5,0.000611366,0.000507584,0.000711923
45,20.5,0.000854374,0.000709247,0.000995068
50,20.5,0.001222441,0.001014519,0.00142415
55,20.5,0.001659842,0.001376736,0.001934687
60,20.5,0.002555027,0.00211767,0.002979949
65,20.5,0.003751187,0.003106225,0.004378374
70,20.5,0.005397361,0.004465912,0.006304119
75,20.5,0.008014253,0.006624843,0.009368609
80,20.5,0.011844819,0.00977681,0.013865202
85,20.5,0.030427086,0.025114766,0.035617065
25,21,0.000244637,0.000203163,0.000284775
30,21,0.000333719,0.000277103,0.000388521
35,21,0.000449797,0.000373488,0.000523673
40,21,0.000599671,0.000498006,0.000698121
45,21,0.000847297,0.000703556,0.000986572
50,21,0.001222035,0.00101444,0.001423319
55,21,0.001658298,0.001375795,0.00193241
60,21,0.002570707,0.002131184,0.002997515
65,21,0.003805177,0.003151678,0.004440347
70,21,0.005464431,0.004522434,0.006381028
75,21,0.008104192,0.006700645,0.009471717
80,21,0.012043765,0.009942964,0.0140953
85,21,0.03083415,0.025455726,0.036086451
25,21.5,0.000244896,0.000203433,0.000285001
30,21.5,0.000321684,0.000267182,0.00037441
35,21.5,0.000428717,0.00035608,0.000498999
40,21.5,0.000578695,0.000480716,0.000673526
45,21.5,0.000828993,0.000688538,0.00096501
50,21.5,0.001208568,0.001003518,0.001407277
55,21.5,0.001641664,0.001362338,0.001912551
60,21.5,0.002567912,0.002129392,0.002993534
65,21.5,0.003835426,0.003177485,0.004474599
70,21.5,0.005497607,0.004550932,0.006418318
75,21.5,0.008164096,0.006751636,0.009539673
80,21.5,0.01221986,0.010090351,0.014298556
85,21.5,0.031006336,0.025602975,0.036280769
25,22,0.000255536,0.000212328,0.000297304
30,22,0.000329457,0.000273712,0.000383356
35,22,0.000436573,0.000362702,0.000508009
40,22,0.000592936,0.000492675,0.000689919
45,22,0.000851426,0.000707353,0.000990869
50,22,0.001242705,0.001032126,0.001446662
55,22,0.001681591,0.001395819,0.001958586
60,22,0.002631861,0.002182949,0.003067345
65,22,0.003944345,0.003268489,0.0046006
70,22,0.005638205,0.004668377,0.006580984
75,22,0.008341621,0.006899936,0.009745016
80,22,0.01250903,0.010331193,0.014634042
85,22,0.031595987,0.026095092,0.036963452
25,22.5,0.000262228,0.000217948,0.000305011
30,22.5,0.000332368,0.000276203,0.000386641
35,22.5,0.000437948,0.00036394,0.000509475
40,22.5,0.000598694,0.00049759,0.000696439
45,22.5,0.000864464,0.000718371,0.001005785
50,22.5,0.001264259,0.001050292,0.001471384
55,22.5,0.001703716,0.001414531,0.00198387
60,22.5,0.002680389,0.002223735,0.003123159
65,22.5,0.004038594,0.003347369,0.004709439
70,22.5,0.005755226,0.004766344,0.00671608
75,22.5,0.008516172,0.007045831,0.009946834
80,22.5,0.012792893,0.010567695,0.014963232
85,22.5,0.032001885,0.026435477,0.037431065
25,23,0.000270514,0.000224893,0.000314567
30,23,0.00033538,0.000278779,0.000390045
35,23,0.000439954,0.000365701,0.000511677
40,23,0.000602683,0.000501034,0.000700901
45,23,0.000872748,0.000725438,0.00101517
50,23,0.001282181,0.001065446,0.001491878
55,23,0.001734744,0.001440644,0.002019516
60,23,0.002727587,0.002263421,0.003177408
65,23,0.004100862,0.003399762,0.004780961
70,23,0.005850005,0.004845906,0.006825183
75,23,0.008640294,0.007150035,0.010089679
80,23,0.012988024,0.010730991,0.015188537
85,23,0.03250072,0.026852804,0.038007206
25,23.5,0.000284391,0.000236493,0.000330617
30,23.5,0.000352262,0.000292889,0.000409571
35,23.5,0.000461781,0.000383947,0.000536923
40,23.5,0.000629907,0.000523802,0.000732372
45,23.5,0.000906286,0.000753509,0.001053913
50,23.5,0.001328807,0.001104465,0.001545745
55,23.5,0.001799553,0.001494831,0.002094456
60,23.5,0.002821793,0.002342162,0.00328638
65,23.5,0.004222158,0.003501135,0.004921246
70,23.5,0.006033005,0.004998605,0.007037129
75,23.5,0.008904431,0.007370183,0.01039594
80,23.5,0.013346805,0.011029565,0.015605098
85,23.5,0.033125414,0.027374247,0.038730282
25,24,0.000294067,0.000244602,0.000341779
30,24,0.000359338,0.00029885,0.000417692
35,24,0.000471237,0.00039191,0.000547779
40,24,0.000645367,0.000536796,0.000750159
45,24,0.000929406,0.000772925,0.001080533
50,24,0.001364014,0.001134009,0.001586316
55,24,0.0018506,0.001537604,0.002153357
60,24,0.00289918,0.002406952,0.003375722
